LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
2263082000	Thaumarchaeota archaeon strain DS1
EMEOPLNB	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
FBHHKDHH	Candidatus Aenigmarchaeota archaeon JGI 0000106-F11
ACFNKBIB	Diapherotrites archaeon SCGC AAA011-N19
JPIKNCFN	Diapherotrites archaeon SCGC AAA011-K09
AFBPPJGL	Nanoarchaeota archaeon SCGC AAA011-D5
NJJADFGO	Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16
FNLHPOEM	Thermoplasmatales archaeon A-plasma
EKJFAIGN	Thaumarchaeota archaeon SCGC AAA282-K18
OEFKLEFM	Nanoarchaeota archaeon JGI OTU-2
INOPIGKP	Nanoarchaeota archaeon JGI OTU-1
AOOKNJKO	Thaumarchaeota archaeon JGI OTU-1
CGDIMMBL	Thaumarchaeota archaeon JGI OTU-3
KLFKALOH	crenarchaeote JGI-OTU-1
MKNJJJNK	Thermoplasmatales archaeon E-plasma
LEIIEBME	Candidatus Methanoperedens nitroreducens
HNJFKKHP	Haloferax mediterranei ATCC 33500
ENACBEBM	Methermicoccus shengliensis DSM 18856
NNDJGNGF	Palaeococcus pacificus DY20341
PHJBKGEB	Methanobacterium formicicum
KBJHKLAJ	Candidatus Methanoplasma termitum
OPNDFNEM	Candidatus Nitrosocosmicus oleophilus
CNJGOACB	archaeon GW2011_AR6
FBJCKOAO	archaeon GW2011_AR16
CJNCEALC	archaeon GW2011_AR9
JIPKFDED	archaeon GW2011_AR13
FMILIKJD	archaeon GW2011_AR17
OFLGECOJ	archaeon GW2011_AR19
KPAFNGNF	archaeon GW2011_AR21
BHOAGMHO	archaeon GW2011_AR1
NPLAMKNF	archaeon GW2011_AR3
CKBLNGNP	archaeon GW2011_AR4
LKBIIEIA	archaeon GW2011_AR5
GDEJIBOK	archaeon GW2011_AR11
ADMMEBII	archaeon GW2011_AR18
NMJNPJKO	Candidatus Nitrosopelagicus brevis
NFPFEFIP	archaeon GW2011_AR10
MBBHFCOO	archaeon GW2011_AR15
NLILKGCB	archaeon GW2011_AR20
IOGDNJLL	Methanobacterium formicicum
BEILLNKB	Candidatus Nitrosotenuis cloacae
GFEGKDOD	Lokiarchaeum sp. GC14_75
GPBPAFID	Geoglobus ahangari
CADHNIHE	miscellaneous Crenarchaeota group-15 archaeon DG-45
BIOFJFDG	Methanobacterium formicicum JCM 10132
PIDPBDIH	Candidatus Bathyarchaeota archaeon BA2
KGDDODOF	Methanobacterium formicicum
AICNIOBC	Hadesarchaea archaeon DG-33
NEFFJCMD	Hadesarchaea archaeon DG-33-1
FDAHKMEN	Candidatus Hadarchaeum yellowstonense
BKBJPKDD	Hadesarchaea archaeon YNP_N21
IBDIAIEI	candidate division MSBL1 archaeon SCGC-AAA259A05
LAFPOECC	candidate division MSBL1 archaeon SCGC-AAA259D14
FIBLEMOJ	candidate division MSBL1 archaeon SCGC-AAA259J03
KIBODHFE	candidate division MSBL1 archaeon SCGC-AAA259E19
NDOJGBGP	Candidatus Nanopusillus acidilobi
PJBKIALB	Candidatus Thorarchaeota archaeon SMTZ1-83
BFLJCKAJ	Candidatus Thorarchaeota archaeon SMTZ1-45
BBHDMCAI	Candidatus Thorarchaeota archaeon SMTZ-45
GJJNHLDN	Nanohaloarchaea archaeon B1-Br10_U2g1
BBCMLKHN	Nanohaloarchaea archaeon B1-Br10_U2g19
LENGEKCE	Nanohaloarchaea archaeon B1-Br10_U2g21
GCJIBEBF	Nanohaloarchaea archaeon PL-Br10_U2g16
CABIFLHI	Nanohaloarchaea archaeon PL-Br10_U2g19
GIKBPGMO	Candidatus Methanofastidiosum methylthiophilus
INDOFOLP	Candidatus Methanofastidiosum methylthiophilus
IFNABNCO	Candidatus Methanofastidiosum methylthiophilus
DBGEBKOO	Candidatus Methanofastidiosum methylthiophilus
OOLALEDC	Candidatus Bathyarchaeota archaeon B25
FHBMOJGL	Candidatus Bathyarchaeota archaeon B24
HEBFKJOG	Candidatus Bathyarchaeota archaeon B26-2
POBPMMNK	Theionarchaea archaeon DG-70
KONHDAFF	Theionarchaea archaeon DG-70-1
BMPKAHEE	Thermoplasmatales archaeon SG8-52-4
IDAMBJIC	Euryarchaeota archaeon SG8-5
MANGMPPA	Thermoplasmatales archaeon SG8-52-3
JFFEAAMF	Thermoplasmatales archaeon SM1-50
JPLMDHBJ	Candidatus Nitrosopumilus sp. DDS1
BBJDCGKI	Candidatus Methanosuratus petracarbonis
BGDBAOBG	Candidatus Methanomethylicus oleusabulum
MOJCPBFE	Candidatus Methanomethylicus mesodigestum
FMEIHCKJ	Candidatus Altiarchaeales archaeon WOR_SM1_SCG
IBHOPAPO	Candidatus Altiarchaeales archaeon IMC4
KAGGJCJA	Candidatus Syntrophoarchaeum caldarius
FMAHEGLH	Candidatus Syntrophoarchaeum butanivorans
JLFIJMOC	Thermoplasmatales archaeon I-plasma
PPOHHLHL	Candidatus Heimdallarchaeota archaeon LC_3
NDJFEJKK	Candidatus Lokiarchaeota archaeon CR_4
NEOADNML	Candidatus Odinarchaeota archaeon LCB_4
IJBDOPAC	Candidatus Thorarchaeota archaeon AB_25
DMPLKKGP	Candidatus Heimdallarchaeota archaeon LC_2
ECEDCFJG	Candidatus Heimdallarchaeota archaeon AB_125
GGLMANGM	Candidatus Bathyarchaeota archaeon B24-2
JFLHPGOM	Candidatus Nitrosopelagicus brevis
EMPOBALM	Candidatus Thalassarchaeum betae
JCGJAAEC	Candidatus Parvarchaeota archaeon
KPPOFKOL	Candidatus Parvarchaeota archaeon
DDIGMHAG	uncultured DHVE6 group euryarchaeote
DDMCPDIM	Candidatus Micrarchaeum acidiphilum ARMAN-2
BKFIINIF	Candidatus Methanoperedens nitroreducens
